name,multicast,port,src,type,codec,note
时尚购物,239.100.1.83,5000,192.168.5.166,标清视频,停播,
庆阳,239.100.2.10,5000,192.168.20.37,标清视频,H.264,
临夏,239.100.2.13,5000,192.168.20.49,标清视频,H.264,
甘肃卫视HD,239.100.3.1,5000,192.168.50.49,高清视频,H.264,"MPTS共用地址,需program区分"
甘肃文化影视HD,239.100.3.1,5000,192.168.50.49,高清视频,H.264,"MPTS共用地址,需program区分"
甘肃公共应急HD,239.100.3.1,5000,192.168.50.49,高清视频,H.264,"MPTS共用地址,需program区分"
甘肃科教HD,239.100.3.1,5000,192.168.50.49,高清视频,H.264,"MPTS共用地址,需program区分"
甘肃少儿HD,239.100.3.1,5000,192.168.50.49,高清视频,H.264,"MPTS共用地址,需program区分"
甘肃卫视,239.100.3.5,5000,192.168.50.49,标清视频,MPEG-2,"MPTS共用地址,需program区分"
甘肃文化影视,239.100.3.5,5000,192.168.50.49,标清视频,MPEG-2,"MPTS共用地址,需program区分"
甘肃公共应急,239.100.3.5,5000,192.168.50.49,标清视频,MPEG-2,"MPTS共用地址,需program区分"
甘肃科教,239.100.3.5,5000,192.168.50.49,标清视频,MPEG-2,"MPTS共用地址,需program区分"
甘肃少儿,239.100.3.5,5000,192.168.50.49,标清视频,MPEG-2,"MPTS共用地址,需program区分"
武术世界HD（华诚）,239.100.3.2,5000,192.168.50.57,高清视频,H.264,
文物宝库HD（华诚）,239.100.3.3,5000,192.168.50.65,高清视频,H.264,
先锋乒羽 新动漫（华诚）,239.100.3.4,5000,192.168.50.73,标清视频,MPEG-2,
贵州卫视HD,239.100.3.7,5000,192.168.50.97,高清视频,MPEG-2,
CHC家庭影院（HD）CHC家庭影院（SD）,239.100.3.9,5000,192.168.50.113,高清视频,H.264,
CHC动作影院（HD）CHC动作影院（SD）,239.100.3.10,5000,192.168.50.121,高清视频,H.264,
辽宁高清,239.100.3.15,5000,192.168.50.161,高清视频,H.264,
海南高清,239.100.3.16,5000,192.168.50.169,高清视频,H.264,
上海东方高清,239.100.3.17,5000,192.168.50.177,高清视频,H.264,
传媒公司党教视频,239.100.3.19,5000,192.168.50.193,标清视频,,
北京卫视HD,239.100.3.20,5000,192.168.50.201,高清视频,H.264,
纪实科教,239.100.3.21,5000,192.168.50.209,标清视频,MPEG-2,
吉林HD,239.100.3.22,5000,192.168.50.217,高清视频,H.264,
CCTV-世界地理 HD,239.100.3.35,5000,192.168.51.73,高清视频,H.264,
CCTV-风云足球 HD,239.100.3.36,5000,192.168.51.81,高清视频,H.264,
兰州新闻综合 HD,239.100.3.37,5000,192.168.51.89,高清视频,H.264,
广东卫视4K(卫星信源）,239.100.3.52,5000,192.168.51.213,超高清清视频,H.265,
深圳卫视4K(卫星信源）,239.100.3.53,5000,192.168.51.213,超高清清视频,H.265,
浙江卫视4K,239.100.3.60,5000,192.168.51.213,超高清清视频,H.265,
山东卫视4K,239.100.3.61,5000,192.168.51.213,超高清清视频,H.265,
新疆HD、宁夏HD、兵团HD,239.100.3.54,5000,192.168.51.221,高清视频,H.264,
西藏HD,239.100.3.55,5000,192.168.51.229,高清视频,H.264,
